"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C8","SMD_Capacitor_0603","1580mil","1965mil","1580mil","1965mil","1552.5mil","1965mil","T","180.00","0.01uF"
"C7","SMD_Capacitor_0603","1550mil","1530mil","1550mil","1530mil","1522.5mil","1530mil","T","180.00",".1uF"
"C6","SMD_Capacitor_0603","1550mil","1480mil","1550mil","1480mil","1522.5mil","1480mil","T","180.00","0.01uF"
"C82","SMD_Capacitor_0603","990mil","675mil","990mil","675mil","962.5mil","675mil","T","180.00","Capacitor"
"*1","FXO_HC53","995mil","780mil","995mil","780mil","945mil","735.709mil","T","90.00","FXO_HC53"
"R10","SMD_Resistor_0603","1455mil","1295mil","1455mil","1295mil","1455mil","1322.5mil","T","90.00","Resistor"
"R9","SMD_Resistor_0603","1405mil","1295mil","1405mil","1295mil","1405mil","1322.5mil","T","90.00","Resistor"
"J5","SMA_Right_Angle_Through_Hole","750mil","2085.001mil","750mil","2085.001mil","750mil","2085.001mil","T","0.00","SMA"
"J4","SMA_Right_Angle_Through_Hole","1335mil","2075mil","1335mil","2075mil","1335mil","2075mil","T","0.00","SMA"
"J3","SMA_Right_Angle_Through_Hole","165mil","2075.001mil","165mil","2075.001mil","165mil","2075.001mil","T","360.00","SMA"
"U15","SOT23127P600-8N","2830.001mil","1275.001mil","2830.001mil","1275.001mil","2790.63mil","1312.402mil","T","0.00","transistor NPN"
"U14","LED_0603","2990.001mil","1055.001mil","2990.001mil","1055.001mil","2990.001mil","1025.501mil","T","90.00","LED"
"R65","SMD_Resistor_0603","2675mil","1285mil","2675mil","1285mil","2675mil","1312.5mil","T","90.00","Resistor"
"R64","SMD_Resistor_0603","2675mil","1065mil","2675mil","1065mil","2675mil","1092.5mil","T","90.00","Resistor"
"R63","SMD_Resistor_0603","2725.001mil","1065.001mil","2725.001mil","1065.001mil","2725.001mil","1037.501mil","T","270.00","Resistor"
"L8","MPZ2012S601A","2175mil","205mil","2175mil","205mil","2140.157mil","205mil","T","360.00","Ferrite Bead"
"C69","SMD_Capacitor_0603","1395.001mil","845.001mil","1395.001mil","845.001mil","1422.501mil","845.001mil","T","360.00","Capacitor"
"C1","SMD_Capacitor_0603","1955mil","185.001mil","1955.001mil","185.001mil","1927.5mil","185.001mil","T","180.00","Capacitor"
"C2","SMD_Capacitor_0603","1670mil","510mil","1670mil","510mil","1670mil","537.5mil","T","90.00","Capacitor"
"C3","SMD_Capacitor_0603","1715.001mil","510.001mil","1715.001mil","510.001mil","1715.001mil","537.501mil","T","90.00","Capacitor"
"C4","SMD_Capacitor_0603","990mil","205.001mil","990mil","205.001mil","990mil","177.501mil","T","270.00","Capacitor"
"C5","SMD_Capacitor_0603","895mil","320.001mil","895mil","320.001mil","867.5mil","320.001mil","T","180.00","Capacitor"
"C31","SMD_Capacitor_0603","490mil","990mil","490mil","990mil","517.5mil","990mil","T","360.00","Capacitor"
"C32","SMD_Capacitor_0603","490mil","945.001mil","490mil","945.001mil","517.5mil","945.001mil","T","360.00","Capacitor"
"C33","A","200mil","1110.001mil","200mil","1110.001mil","255.119mil","1110.001mil","T","180.00","T491A"
"C34","A","1115.001mil","70.001mil","1115.001mil","70.001mil","1170.119mil","70.001mil","T","180.00","T491A"
"C35","D","120.001mil","865.001mil","120.001mil","865.001mil","120.001mil","990.985mil","T","270.00","T495D"
"C36","D","115.001mil","1475.001mil","115.001mil","1475.001mil","115.001mil","1600.985mil","T","270.00","T495D"
"C37","SMD_Capacitor_0603","1395mil","750mil","1395mil","750mil","1422.5mil","750mil","T","360.00","Capacitor"
"C38","SMD_Capacitor_0603","1395mil","700mil","1395mil","700mil","1422.5mil","700mil","T","360.00","Capacitor"
"C40","SMD_Capacitor_0603","1640.001mil","1130.001mil","1640.001mil","1130.001mil","1640.001mil","1102.501mil","T","270.00","Capacitor"
"C41","SMD_Capacitor_0603","1395mil","650mil","1395mil","650mil","1422.5mil","650mil","T","360.00","Capacitor"
"C42","SMD_Capacitor_0603","1395mil","1025mil","1395mil","1025mil","1422.5mil","1025mil","T","360.00","Capacitor"
"C43","SMD_Capacitor_0603","1395mil","980mil","1395mil","980mil","1422.5mil","980mil","T","360.00","Capacitor"
"C44","SMD_Capacitor_0603","1395mil","600mil","1395mil","600mil","1422.5mil","600mil","T","360.00","Capacitor"
"C45","SMD_Capacitor_0603","1685mil","1130mil","1685mil","1130mil","1685mil","1102.5mil","T","270.00","Capacitor"
"C46","SMD_Capacitor_0603","1395mil","890mil","1395mil","890mil","1422.5mil","890mil","T","360.00","Capacitor"
"C47","SMD_Capacitor_0603","1945.001mil","850.001mil","1945.001mil","850.001mil","1917.501mil","850.001mil","T","180.00","Capacitor"
"C48","SMD_Capacitor_0603","1945.001mil","1020.001mil","1945.001mil","1020.001mil","1917.501mil","1020.001mil","T","180.00","Capacitor"
"C49","SMD_Capacitor_0603","1395mil","800mil","1395mil","800mil","1422.5mil","800mil","T","360.00","Capacitor"
"C50","SMD_Capacitor_0603","1945mil","515mil","1945mil","515mil","1917.5mil","515mil","T","180.00","Capacitor"
"C51","SMD_Capacitor_0603","1945.001mil","560.001mil","1945.001mil","560.001mil","1917.501mil","560.001mil","T","180.00","Capacitor"
"C52","SMD_Capacitor_0603","1585.001mil","510.001mil","1585.001mil","510.001mil","1585.001mil","537.501mil","T","90.00","Capacitor"
"C53","SMD_Capacitor_0603","2175mil","70mil","2175mil","70mil","2147.5mil","70mil","T","180.00","Capacitor"
"C54","SMD_Capacitor_0603","1945.001mil","630.001mil","1945.001mil","630.001mil","1917.501mil","630.001mil","T","180.00","Capacitor"
"C55","SMD_Capacitor_0603","2440mil","490mil","2440mil","490mil","2412.5mil","490mil","T","180.00","Capacitor"
"C56","SMD_Capacitor_0603","1945.001mil","795.001mil","1945.001mil","795.001mil","1917.501mil","795.001mil","T","180.00","Capacitor"
"C57","SMD_Capacitor_0603","2440mil","680mil","2440mil","680mil","2412.5mil","680mil","T","180.00","Capacitor"
"C58","SMD_Capacitor_0603","1395mil","935mil","1395mil","935mil","1422.5mil","935mil","T","360.00","Capacitor"
"C59","SMD_Capacitor_0603","1595mil","1130mil","1595mil","1130mil","1595mil","1102.5mil","T","270.00","Capacitor"
"C60","SMD_Capacitor_0603","990mil","1045.001mil","990mil","1045.001mil","962.5mil","1045.001mil","T","180.00","Capacitor"
"C61","SMD_Capacitor_0603","1945.001mil","965.001mil","1945.001mil","965.001mil","1917.501mil","965.001mil","T","180.00","Capacitor"
"C62","SMD_Capacitor_0603","1945.001mil","910.001mil","1945.001mil","910.001mil","1917.501mil","910.001mil","T","180.00","Capacitor"
"C63","SMD_Capacitor_0603","2115mil","895mil","2115mil","895mil","2087.5mil","895mil","T","180.00","Capacitor"
"C64","SMD_Capacitor_0603","2115.001mil","850.001mil","2115.001mil","850.001mil","2087.501mil","850.001mil","T","180.00","Capacitor"
"C65","SMD_Capacitor_0603","1945.001mil","685.001mil","1945.001mil","685.001mil","1917.501mil","685.001mil","T","180.00","Capacitor"
"C66","SMD_Capacitor_0603","1945.001mil","740.001mil","1945.001mil","740.001mil","1917.501mil","740.001mil","T","180.00","Capacitor"
"C67","Capacitor_Polarized_0603","465.5mil","1400mil","415mil","1400mil","438mil","1400mil","T","360.00","Capacitor Polarized"
"C70","SMD_Capacitor_0603","465.315mil","1355.315mil","465.315mil","1355.315mil","437.815mil","1355.315mil","T","180.00","Capacitor"
"C71","Capacitor_Polarized_0603","695.5mil","1340mil","645mil","1340mil","668mil","1340mil","T","360.00","Capacitor Polarized"
"C73","SMD_Capacitor_0603","490.315mil","1135.315mil","490.315mil","1135.315mil","517.814mil","1135.315mil","T","360.00","Capacitor"
"C68","Capacitor_Polarized_0603","295mil","1690.501mil","295mil","1640.001mil","295mil","1663.001mil","T","90.00","Capacitor Polarized"
"C72","Capacitor_Polarized_0603","534.5mil","1545.001mil","585mil","1545.001mil","562mil","1545.001mil","T","180.00","Capacitor Polarized"
"C78","SMD_Capacitor_0603","300mil","520mil","300mil","520mil","272.5mil","520mil","T","180.00","Capacitor"
"C79","SMD_Capacitor_0603","1195.001mil","340.001mil","1195.001mil","340.001mil","1167.501mil","340.001mil","T","180.00","Capacitor"
"C80","SMD_Capacitor_0603","2005.001mil","340.001mil","2005.001mil","340.001mil","2032.501mil","340.001mil","T","360.00","Capacitor"
"C81","SMD_Capacitor_0603","2230.001mil","475.001mil","2230.001mil","475.001mil","2202.501mil","475.001mil","T","180.00","Capacitor"
"J1","PCBComponent_1","1560.001mil","105.001mil","1560.001mil","105.001mil","1407.501mil","157.751mil","T","360.00","USB3 MicroB"
